TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
SJVN,SJVN Limited,Power,S,0.65,7.65,27.61,3.688,7.622,72.39406012314379,1.5384615384615383,"[2679.31, 2229.97, 2646.38, 2707.61, 2490.83]","[1544.14, 1224.88, 1364.29, 1557.43, 1633.04]","[2609.0899999999997, 2113.7400000000002, 2433.3500000000004, 2687.65, 2604.21]","[97.37917598187592, 94.78782225769855, 91.95013565701072, 99.26281850044873, 104.5518963558332]"
CESC,CESC Limited,Power,S,0.72,5.48,27.61,6.628,9.562000000000001,65.36762042738138,1.3888888888888888,"[7220.07, 7785.84, 7753.67, 7835.93, 6921.48]","[862.86, 861.71, 937.05, 917.75, 814.47]","[2067.75, 2116.98, 2188.96, 2216.53, 1925.96]","[28.638919013250565, 27.190129774051353, 28.231276285939433, 28.28675090257315, 27.825840716147415]"
NLCINDIA,NLC India Limited,Power,S,0.67,3.63,27.61,10.888000000000002,6.494,76.47953639985514,1.4925373134328357,"[8561.26, 8496.33, 7146.03, 7920.61, 7339.72]","[2368.81, 1848.78, 1266.97, 1413.85, 1041.79]","[3006.13, 3706.8, 3271.6800000000003, 3983.36, 3938.4400000000005]","[35.113172593753724, 43.62824890276155, 45.78318311006251, 50.291076066111074, 53.65926765598688]"
PTC,PTC India Ltd,Power,S,0.88,7.53,27.61,10.828,7.016,74.58891705903659,1.1363636363636365,"[14074.83, 11315.38, 13495.65, 16442.97, 16963.29]","[290.87, 319.2, 262.32, 320.11, 410.25]","[548.96, 567.22, 545.91, 483.77000000000004, 602.8299999999999]","[3.9002957762189667, 5.0128232547205664, 4.045081192828801, 2.942108390394193, 3.55373279593758]"
RELIANCE,Reliance Industries Limited,Crude oil,L,1.09,0.27,21.25,48.629999999999995,24.375999999999998,-14.710588235294106,0.9174311926605504,"[240597.0, 289188.0, 370744.0, 336097.0, 245050.0]","[31425.0, 33612.0, 35163.0, 30903.0, 31944.0]","[51965.0, 59961.0, 67676.0, 62149.0, 52622.0]","[21.59835741925294, 20.734262832482674, 18.25410525861511, 18.49138790289708, 21.473984901040605]"
ONGC,Oil & Natural Gas Corporation Limited,Crude oil,L,0.59,2.1,21.25,14.081999999999999,10.004000000000001,52.92235294117646,1.6949152542372883,"[77669.6, 84929.69, 109627.74, 96165.84, 68087.18]","[17899.98, 19945.26, 26764.6, 13463.68, 11246.44]","[38626.799999999996, 44871.11, 57977.3, 42314.36, 34944.71]","[49.73219895557592, 52.8332435924351, 52.8856108864417, 44.00144583565225, 51.323479691771645]"
IOC,Indian Oil Corporation Limited,Crude oil,L,0.85,9.78,21.25,16.836000000000002,17.886,15.83058823529412,1.1764705882352942,"[359942.15, 424038.7, 527701.26, 485660.36, 378057.61]","[19106.4, 21346.12, 16894.15, 1313.23, 21836.04]","[36009.25, 43141.840000000004, 36985.310000000005, 11099.880000000001, 42643.93]","[10.004177060119243, 10.174033643627338, 7.008759084638154, 2.2855231586123272, 11.279743846447106]"
HINDPETRO,Hindustan Petroleum Corporation Limited,Crude oil,M,0.84,8.07,21.25,42.518,7.644,64.02823529411764,1.1904761904761905,"[187090.54, 219332.83, 275214.67, 268766.41, 232996.81]","[6208.8, 6357.07, 6028.66, 2637.26, 10663.88]","[12091.77, 12521.39, 13077.210000000001, 5958.7, 18714.17]","[6.46305793975473, 5.708853526396391, 4.751639874429659, 2.217055323245193, 8.031942583248242]"
OIL,Oil India Limited,Crude oil,M,0.4,2.1,21.25,20.034,9.072,57.30823529411765,2.5,"[9510.39, 10656.47, 13734.96, 12128.52, 8618.38]","[1548.68, 2667.93, 2590.14, 2584.06, 1741.59]","[3633.76, 5395.49, 5892.0199999999995, 4110.73, 2759.46]","[38.20831742967429, 50.63111893525718, 42.89797713280563, 33.89308835702954, 32.01831434677979]"
MRPL,Mangalore Refinery and Petrochemicals Limited,Crude oil,M,1.0,0.0,21.25,3.6719999999999993,4.644,78.14588235294119,1.0,"[43207.88, 48450.58, 62062.14, 51001.93, 32182.41]","[3643.69, 2224.12, 331.96, -2740.35, -240.46]","[6729.280000000001, 4464.9, 1812.1, -2425.34, 863.24]","[15.57419618828788, 9.215369558011481, 2.919815526825211, -4.755388668624893, 2.682334853107645]"
