TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
MOTILALOFS,Motilal Oswal,Finance,S,4.35820895522388,2.2941176470588234,5.551615664455382,4.702676837853009,3.8856521902049685,7.1842897893242155,3.541905855338691,[ 5.33549044  4.0528327  10.        ],[5.45211906 5.39297014 5.31479042],[2.3468783  2.32277203 2.27634178],[8.72522836 8.75121253 8.80156641]
IDFC,IDFC Limited,Finance,S,8.723880597014926,1.0,5.551615664455382,4.229334793370938,9.94934612358077,1.0,1.335390355912744,[1.         2.3769809  2.91730545],[4.94131576 5.01424533 5.0043444 ],[2.069586   2.09442447 2.09266918],[9.14084052 9.10680372 9.05665622]
TCS,Tata Consultancy Services(TCS),IT,L,4.331491712707183,1.9202453987730062,7.70425850631286,3.7746822441905254,7.409103892147156,3.356719771899496,1.0833604159896002,[4.81635971 5.2509098  5.16085376],[9.88733784 9.57172801 9.39530657],[3.23956858 3.07558531 2.98122326],[3.96508609 3.99847932 3.99917343]
INFY,Infosys,IT,L,4.530386740331492,2.334355828220859,7.70425850631286,2.680556829228032,7.388967171909514,3.371053919499254,1.0759668508287292,[5.07371322 5.22034571 5.13094868],[7.71843194 7.6216317  7.55665446],[2.27755249 2.19612228 2.16882757],[3.69302795 3.76376671 3.81191925]
HCLTECH,HCL Tech,IT,L,4.828729281767956,1.7730061349693251,7.70425850631286,2.4957357445481723,7.38318798080585,3.375167785973511,1.0662983425414365,[5.09978818 5.51744267 5.47634051],[6.59400551 6.51735134 6.47651396],[1.77867448 1.68893043 1.65356078],[4.59744407 4.682438   4.71874842]
TATAELXSI,Tata Elxsi,IT,M,4.09375,1.6022304832713754,7.70425850631286,4.12414864514967,5.8874994983747335,4.141580241538996,3.775225903614458,[7.04008907 6.74755396 6.79253709],[9.14039459 9.13720046 9.13411442],[3.18931649 3.18498489 3.18016128],[6.38921773 6.39795032 6.36751261]
PERSISTENT,Persistent Systems Limited,IT,M,4.7265625,1.4572490706319703,7.70425850631286,4.378052212678292,5.559412496488623,4.366807550048715,3.235478940217391,[7.37809004 6.98587465 6.72795448],[9.1599635  9.15129484 9.1486244 ],[3.21578112 3.20356963 3.20017769],[6.4164434  6.38820638 6.38107725]
OFSS,Oracle Finance,IT,M,4.7265625,7.066914498141265,7.70425850631286,10.0,5.701207913640194,4.269466905706007,3.235478940217391,[6.22932997 5.80918961 5.9134482 ],[9.31654327 9.2848939  9.28246628],[3.44297352 3.41349632 3.40637857],[7.48218773 7.27495266 7.22284927]
FSL,Firstsource Solutions Limited,IT,S,5.768656716417912,3.6588235294117646,7.70425850631286,4.285567712311246,2.84903511072807,8.360491066845517,2.5489738805970146,[4.5662996  3.95096465 3.78115674],[5.23184262 5.18365772 5.17230756],[2.22837877 2.19269884 2.1852452 ],[8.71362756 8.69513288 8.68463014]
NIITLTD,NIIT Limited,IT,S,7.380597014925375,1.4705882352941178,7.70425850631286,4.640646710774526,2.456484430621651,8.676830858350566,1.789672958735733,[3.27723718 3.51212008 3.50440407],[5.76541102 5.34037702 5.25076221],[2.41358612 2.24363114 2.20833324],[10.          9.28435043  9.13565317]
SONATSOFTW,Sonata Software,IT,S,3.216417910447761,3.1294117647058823,7.70425850631286,4.551411114076173,2.925656686776333,8.29874501819436,4.758471157724889,[3.20609228 3.62556566 3.69829939],[5.13507569 5.11473618 5.10368723],[2.17531291 2.16091662 2.15473515],[8.70946141 8.6893234  8.68829681]
BSOFT,Birla Soft,IT,S,6.3059701492537314,1.835294117647059,7.70425850631286,4.3659418622841,2.8938209615168438,8.324400066577589,2.2621268656716427,[3.81189899 4.20886088 3.77573432],[5.10087306 5.10419373 5.10405137],[2.19582564 2.17660035 2.17531114],[8.60963426 8.63273492 8.62729522]
TATASTEEL,Tata Steel,Metals,L,7.76243093922652,2.7116564417177917,1.0,3.533958146103479,7.335088354025441,3.348438598708225,1.0163326208815582,[5.00611342 4.82848842 5.08432463],[6.78083776 6.58087552 6.43022292],[2.01665568 1.98430482 1.91640753],[3.73636625 3.60865152 3.53656163]
JSWSTEEL,JSW Steel,Metals,L,7.364640883977901,1.8190184049079754,1.0,2.3756212974341104,7.3436476502399275,3.33085021288889,1.0204291404342798,[5.14261781 4.79647219 5.09646031],[6.3087741  6.27556319 6.18972468],[1.84081324 1.85585221 1.81567105],[3.16394488 3.14704348 3.14349994]
NMDC,NMDC,Metals,L,6.071823204419889,5.233128834355828,1.0,2.0694752673183796,7.333612613298805,3.3514710790219038,1.03813763879204,[6.21031394 5.17758559 5.43814676],[6.03821284 5.98810686 5.93177861],[1.46322862 1.44432085 1.41679244],[5.73906859 5.79828175 5.69407794]
JINDALSTEL,Jindal Steel & Power,Metals,M,8.804687500000002,1.2007434944237918,1.0,2.560199934706008,4.075869818211004,6.485109090517296,1.3107812499999998,[8.10933471 8.08092053 7.99729347],[9.62507487 9.34039735 9.26517534],[4.55640897 4.14449022 4.02575946],[6.50043501 6.29033068 6.25858362]
SAIL,SAIL,Metals,M,10.000000000000002,3.9553903345724906,1.0,2.078836866338696,4.594365745013845,5.457608304634359,1.0,[6.93071436 6.50704287 6.96424998],[9.49620987 9.35467787 9.22650838],[4.92007109 4.57740094 4.29602942],[6.07474401 5.965603   5.87078998]
APLAPOLLO,APL Apollo tubes,Metals,M,4.1640625,1.0,1.0,2.211766427630616,6.667193707612665,1.349895494423052,3.709542410714286,[6.06021129 6.97022797 7.51543943],[9.11629334 9.11528605 9.11423779],[3.1615414  3.16181243 3.1596591 ],[5.62921219 5.6451786  5.65728538]
TINPLATE,Tinplate,Metals,S,8.723880597014926,1.5647058823529412,1.0,4.357204641447278,3.0303368681380447,7.093611493641442,1.335390355912744,[3.71067093 3.70622394 4.51356232],[5.01464552 4.99569904 4.98269129],[2.1306353  2.12684157 2.12060612],[8.51231947 8.50954223 8.51699316]
KSL,Kalyani Steel,Metals,S,5.902985074626864,3.7882352941176474,1.0,4.910465340977059,2.562311237681268,8.182372400093199,2.4734878240377065,[3.46778214 3.39461001 3.46462144],[5.09666341 5.07207454 5.07522536],[2.16322826 2.15586752 2.16075735],[8.61249296 8.59248658 8.59938263]
USHAMART,Usha Martin,Metals,S,6.776119402985074,1.0,1.0,4.206725681632053,2.486768838760445,8.358105533862615,2.0407803502174167,[3.4031166  3.5034013  3.12459581],[5.19961345 4.97988689 4.87648594],[2.24254058 2.11895878 2.14554259],[8.68696598 8.53744216 8.54088039]
SUNFLAG,Sunflag Iron & Steel,Metals,S,8.388059701492537,1.0,1.0,4.339854425662308,2.575193914640087,8.152403624602165,1.4376791538993778,[3.69091549 3.45948327 3.72086178],[5.03474674 5.0387731  5.02626879],[2.14436133 2.15137808 2.14409411],[8.53763161 8.53764709 8.53546481]
DABUR,Dabur,FMCG,L,2.988950276243094,1.8006134969325154,7.3036593194949715,1.8761256717348642,7.572549318302994,3.232189578851687,1.1710012127745588,[5.33324416 5.08325289 5.04351076],[5.52051004 5.51286586 5.50652633],[1.17225459 1.16922027 1.16685757],[3.3217108  3.37280907 3.37882553]
ITC,ITC,FMCG,L,5.12707182320442,4.809815950920245,7.3036593194949715,1.9713698806008475,7.408675451291036,3.3535825995483015,1.058011049723757,[4.62393656 4.83676624 4.8041236 ],[7.33439559 7.17577209 7.09751289],[2.03713065 2.01712405 1.99043689],[4.70270852 4.7348569  4.69717858]
HINDUNILVR,HUL,FMCG,L,3.8839779005524866,2.334355828220859,7.3036593194949715,2.45078223868826,7.580984842714602,3.2259407863617264,1.1036613915160596,[5.56996151 5.15251428 5.12753063],[6.38015277 6.25909936 6.20241422],[1.61070152 1.55230159 1.52519322],[3.36450289 3.26862097 3.22272892]
PGHH,PGHH(P&G),FMCG,M,1.6328125,2.8178438661710037,7.3036593194949715,9.16837969582006,7.612014928367911,2.882758965156727,7.798339843750002,[7.49413698 7.05738964 6.89918582],[9.17163067 9.16175941 9.16075808],[3.23440308 3.22437247 3.22507379],[6.24964514 6.25879797 6.31165664]
COLPAL,ColPal,FMCG,M,1.1406249999999996,3.6654275092936803,7.3036593194949715,3.407524569678821,6.488125526706529,3.685649759472305,9.427210365853659,[6.51930498 6.35739819 6.3613546 ],[9.22363926 9.20997852 9.20325813],[3.32519873 3.31227542 3.30262573],[6.44872214 6.4237604  6.39567424]
